Name,Bible passages,Children,Conflicts,Custom target scene count,Date,Inspiration count,Inspirations,Missing scene count,Parents,Priority,Products,Progress,Solutions,Tags,Weight,Wonderland count,_Form final scenes,_Form scenes,_Rup child scenes,_Rup child scenes 2
Guest consultant,,,,,,3,"Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), Top Ten Horror Films of Peter Cushing (../Inspirations/Inspirations/Top%20Ten%20Horror%20Films%20of%20Peter%20Cushing%20580ad5ba6efc451b9814d0d205acabb3.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Forest folk using tradition to survive,,,,,,0,,,Folklore (../Features/Folklore%20b9b9e0b8df614e64bae9bf2ec5b048a2.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Custom symbolism,,,,,,1,Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md),,Surreal (../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Dreamlike,,,,,,10,"Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), Alice: Madness Returns (../Inspirations/Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.md), In the Mouth of Madness (../Inspirations/Inspirations/In%20the%20Mouth%20of%20Madness%203a3a45e2b9d4455e94e3101a5eafa8ae.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,Surreal (../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md),Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
False gods,,,,,,0,,,Worship (../Features/Worship%20bdf1eb914ee24fa68c33e76d7e3975d6.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Worship,,"Worshipping God (../Features/Worshipping%20God%20428f9f34b232411fa91e301f42dec8cc.md), False gods (../Features/False%20gods%20c7881f0f2467400f96a48b0561558a2d.md)",,,,1,Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md),,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Worshipping God,The woman at the well (../Data/Bible%20passages/The%20woman%20at%20the%20well%2028f58e628ba2801b9ec9f01c647d0580.md),,,,,0,,,Worship (../Features/Worship%20bdf1eb914ee24fa68c33e76d7e3975d6.md),Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Iconic,,,,,,23,"Alice: Madness Returns (../Inspirations/Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Watchmen (../Inspirations/Inspirations/Watchmen%200985cb49b57f4b60bc959cfc391e7176.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Discworld series (../Inspirations/Inspirations/Discworld%20series%20541909be433a442f8c7ed51c3ce5f0fc.md), Batman (1989) (../Inspirations/Inspirations/Batman%20(1989)%20136bf2ccc849460a914cad03bb8dc541.md), Les Misérables (1998) (../Inspirations/Inspirations/Les%20Mis%C3%A9rables%20(1998)%2030eba33ec4bb436180ac254bb05ecb1b.md), Batman Returns (../Inspirations/Inspirations/Batman%20Returns%20bb12768ac7c14b5ab55779aa3729e99c.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), RWBY (../Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Playing with fire,,Fire from the gods (../Features/Fire%20from%20the%20gods%20716ab685a22947019750d497c9b0c798.md),,,,2,"Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), H. P. Lovecraft (../Inspirations/Inspirations/H%20P%20Lovecraft%208b960aeb87da4d2c816e0219335869e4.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Chaotic world,,,,,,1,River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md),,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Locations with personality,,,,,,17,"Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Angel (../Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Blasphemous (../Inspirations/Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.md), Buffy the Vampire Slayer (../Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Discworld series (../Inspirations/Inspirations/Discworld%20series%20541909be433a442f8c7ed51c3ce5f0fc.md), Mordheim (../Inspirations/Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.md), Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,1,1,,,,
Maze-like,,,,,,19,"Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Batman Returns (../Inspirations/Inspirations/Batman%20Returns%20bb12768ac7c14b5ab55779aa3729e99c.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md), Mordheim (../Inspirations/Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.md), Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), The Great Muppet Caper (../Inspirations/Inspirations/The%20Great%20Muppet%20Caper%2015058e628ba280528132f64f29593742.md), The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md), Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,1,1,,,,
Stumbling upon stationary characters,,,,,,8,"Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,James meets Miles in the Asylum (../Solutions/James%20meets%20Miles%20in%20the%20Asylum%201ef58e628ba28004a699f06ab1278857.md),Wonderland,1,1,,,,
Adventure,,,,,,44,"Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Angel (../Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), Guardians of the Galaxy (2008) (../Inspirations/Inspirations/Guardians%20of%20the%20Galaxy%20(2008)%206266105a80734554b40460f4ba6400d8.md), The Great Muppet Caper (../Inspirations/Inspirations/The%20Great%20Muppet%20Caper%2015058e628ba280528132f64f29593742.md), Unforgiving - A Northern Hymn (../Inspirations/Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.md), Buffy the Vampire Slayer (../Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.md), The Witcher (../Inspirations/Inspirations/The%20Witcher%20d52418cdc33d47ba8c64bc60adabd302.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Neverwinter Nights (../Inspirations/Inspirations/Neverwinter%20Nights%20b1de5c0c474b4a9f96d7b652dcd30ece.md), The Darkest Dungeon (../Inspirations/Inspirations/The%20Darkest%20Dungeon%20df3ac67f75374c4aa1634a7575916828.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Top Ten Horror Films of Peter Cushing (../Inspirations/Inspirations/Top%20Ten%20Horror%20Films%20of%20Peter%20Cushing%20580ad5ba6efc451b9814d0d205acabb3.md), Top Ten Hammer Horrors of Michael Ripper (../Inspirations/Inspirations/Top%20Ten%20Hammer%20Horrors%20of%20Michael%20Ripper%20e654f2833b1a4d02b3d76251af2456ae.md), The Wheel of Time (../Inspirations/Inspirations/The%20Wheel%20of%20Time%205f8c9f03a30b4aa4bbc33d70558079a1.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), Supernatural (../Inspirations/Inspirations/Supernatural%20996146bcd7f043f0a2f91fe83c4321c0.md), The Walking Dead (../Inspirations/Inspirations/The%20Walking%20Dead%201d28d505f48f437d8501aa594f07c6cb.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Untitled (https://www.notion.so/0a76666792964c1bad46a2e5656ab62e?pvs=21), Doom Patrol (2016) (../Inspirations/Inspirations/Doom%20Patrol%20(2016)%20513936adfeba4a2bad778646bcea5cce.md), Spider-Man (Renew Your Vows) (../Inspirations/Inspirations/Spider-Man%20(Renew%20Your%20Vows)%20939509d82a034b0b979e4eb1dbb1d794.md), Mordheim (../Inspirations/Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), Justice League America (International) (../Inspirations/Inspirations/Justice%20League%20America%20(International)%207371ab44a1864032bae75dc0cd3da4ee.md), Batman (1989) (../Inspirations/Inspirations/Batman%20(1989)%20136bf2ccc849460a914cad03bb8dc541.md), Batman Returns (../Inspirations/Inspirations/Batman%20Returns%20bb12768ac7c14b5ab55779aa3729e99c.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md), Discworld series (../Inspirations/Inspirations/Discworld%20series%20541909be433a442f8c7ed51c3ce5f0fc.md), RWBY (../Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Doctor Who (../Inspirations/Inspirations/Doctor%20Who%2027d58e628ba28012bd49c9bb9d4e613f.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,2,1,,,,
Free spirited / adaptable main characters,,,,,,21,"Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md), Doom Patrol (2016) (../Inspirations/Inspirations/Doom%20Patrol%20(2016)%20513936adfeba4a2bad778646bcea5cce.md), Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Supernatural (../Inspirations/Inspirations/Supernatural%20996146bcd7f043f0a2f91fe83c4321c0.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), The Great Muppet Caper (../Inspirations/Inspirations/The%20Great%20Muppet%20Caper%2015058e628ba280528132f64f29593742.md), The Witcher (../Inspirations/Inspirations/The%20Witcher%20d52418cdc33d47ba8c64bc60adabd302.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Doctor Who (../Inspirations/Inspirations/Doctor%20Who%2027d58e628ba28012bd49c9bb9d4e613f.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), RWBY (../Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,1,1,,,,
Temporal continuity,,,,,,15,"Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,2,1,,,,
Journey - frequent new locations,,,,,,18,"Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md), Guardians of the Galaxy (2008) (../Inspirations/Inspirations/Guardians%20of%20the%20Galaxy%20(2008)%206266105a80734554b40460f4ba6400d8.md), Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Supernatural (../Inspirations/Inspirations/Supernatural%20996146bcd7f043f0a2f91fe83c4321c0.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,2,1,,,,
Conflicting accounts,,,,,,1,Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md),,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
No explanation,,,,,,2,"Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Resourcefulness,,,,,,4,"Jeeves and Wooster (../Inspirations/Inspirations/Jeeves%20and%20Wooster%2018658e628ba280b781bfcabd1d05cd5d.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Turned tables,,,,,,4,"The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), Duchess in Ruins (../Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Good stewardship,,,,,,7,"The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), Duchess in Ruins (../Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), Jeeves and Wooster (../Inspirations/Inspirations/Jeeves%20and%20Wooster%2018658e628ba280b781bfcabd1d05cd5d.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Foyle's War (../Inspirations/Inspirations/Foyle's%20War%209698e35a1cd140969f69eae29d7c3251.md), Les Misérables (1998) (../Inspirations/Inspirations/Les%20Mis%C3%A9rables%20(1998)%2030eba33ec4bb436180ac254bb05ecb1b.md)",,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,0,0,,,,
